SoundDevice Version: 0.5.3

Scanning Audio Devices...

[IN] [0] Microsoft Sound Mapper - Input (In: 2, Out: 0, API: 0)
[IN] [1] Chat Mix (Elgato Virtual Audio) (In: 2, Out: 0, API: 0)
[IN] [2] Headphones (Elgato Virtual Audi (In: 2, Out: 0, API: 0)
[IN] [3] Echo Cancelling Speakerphone (P (In: 2, Out: 0, API: 0)
[IN] [4] Webcam 1 (NDI Webcam Audio) (In: 2, Out: 0, API: 0)
[IN] [5] Microphone Array (Voice.ai Audi (In: 2, Out: 0, API: 0)
[IN] [6] Microphone (Realtek(R) Audio) (In: 4, Out: 0, API: 0)
[IN] [7] Webcam 3 (NDI Webcam Audio) (In: 2, Out: 0, API: 0)
[IN] [8] Microphone (DroidCam Audio) (In: 2, Out: 0, API: 0)
[IN] [9] Elgato Out Only (Elgato Virtual (In: 2, Out: 0, API: 0)
[IN] [10] Webcam 2 (NDI Webcam Audio) (In: 2, Out: 0, API: 0)
[IN] [11] Webcam 4 (NDI Webcam Audio) (In: 2, Out: 0, API: 0)
   [12] Microsoft Sound Mapper - Output (In: 0, Out: 2, API: 0)
   [13] Speakers (6- Razer Nommo Chroma (In: 0, Out: 2, API: 0)
   [14] Speakers (Voice.ai Audio Cable) (In: 0, Out: 2, API: 0)
   [15] Realtek(R) Audio (Elgato Virtua (In: 0, Out: 2, API: 0)
   [16] Vod Tracks (Elgato Virtual Audi (In: 0, Out: 2, API: 0)
   [17] DELL P2418HZm (NVIDIA High Defi (In: 0, Out: 2, API: 0)
   [18] Discord (Elgato Virtual Audio) (In: 0, Out: 2, API: 0)
   [19] Adobe Lightroom (Elgato Virtual (In: 0, Out: 2, API: 0)
   [20] Speakers (Realtek(R) Audio) (In: 0, Out: 2, API: 0)
   [21] 2- Elgato Wave:3 (Elgato Virtua (In: 0, Out: 2, API: 0)
   [22] Terminal (Elgato Virtual Audio) (In: 0, Out: 2, API: 0)
   [23] Webcam 4 (NDI Webcam Audio) (El (In: 0, Out: 2, API: 0)
   [24] Headset (Stealth 500X) (Elgato  (In: 0, Out: 2, API: 0)
